t,track_id,cluster_idx,p_pred,reward,cum_like_rate,rolling_like_rate
0,5Eax0qFko2dh7Rl2lYs3bx,0,0.131037756006984,0,0.0,0.0
1,7dSZ6zGTQx66c2GF91xCrb,0,0.130696103933959,0,0.0,0.0
2,4h9wh7iOZ0GGn8QVp4RAOB,1,0.11603906662629054,0,0.0,0.0
3,1xzi1Jcr7mEi9K2RfzLOqS,1,0.1182599114591279,0,0.0,0.0
4,5IgjP7X4th6nMNDh4akUHb,2,0.11949512392731791,0,0.0,0.0
5,3k3NWokhRRkEPhCzPmV8TW,2,0.12096223772137223,0,0.0,0.0
6,6xGruZOHLs39ZbVccQTuPZ,3,0.1389841525170623,0,0.0,0.0
7,3JvKfv6T31zO0ini8iNItO,3,0.12580318190478393,0,0.0,0.0
8,2vWBUC9djv6BtiGlmKiQaH,4,0.25544563902530976,0,0.0,0.0
9,4IhTXiZLKATmwhMZIb1GQN,4,0.31537512982383004,1,0.1,0.1
10,41oY4WCTj5kccfesTVFnvN,5,0.12520377851154357,0,0.09090909090909091,0.09090909090909091
11,7DbdUf8aHSYoliSjO6LZv6,5,0.11887256687600191,0,0.08333333333333333,0.08333333333333333
12,6KHsTu4Ht4XYiWcZOOdwbW,6,0.12053912596809489,0,0.07692307692307693,0.07692307692307693
13,6dr7ekfhlbquvsVY8D7gyk,6,0.13311552291525713,0,0.07142857142857142,0.07142857142857142
14,0yc6Gst2xkRu0eMLeRMGCX,7,0.1263195474922607,0,0.06666666666666667,0.06666666666666667
15,7H7NyZ3G075GqPx2evsfeb,7,0.12839311524794872,0,0.0625,0.0625
16,4LRPiXqCikLlN15c3yImP7,8,0.12141502135459052,0,0.058823529411764705,0.058823529411764705
17,3F5CgOj3wFlRv51JsHbxhe,8,0.11868799021434433,0,0.05555555555555555,0.05555555555555555
18,6i1g5ZRmJZAkDwBaUZ3f2i,9,0.1128518176750934,0,0.05263157894736842,0.05263157894736842
19,0hquQWY3xvYqN4qtiquniF,9,0.12888494878958134,0,0.05,0.05
20,0i1sZjMJwmX7p1dpaYRuSC,1,0.10491109032611819,0,0.047619047619047616,0.05
