t,track_id,cluster_idx,p_pred,reward,cum_like_rate,rolling_like_rate
0,5Eax0qFko2dh7Rl2lYs3bx,0,0.15173261460478207,0,0.0,0.0
1,7dSZ6zGTQx66c2GF91xCrb,0,0.12515685086722075,0,0.0,0.0
2,4h9wh7iOZ0GGn8QVp4RAOB,1,0.3973567025774421,1,0.3333333333333333,0.3333333333333333
3,1xzi1Jcr7mEi9K2RfzLOqS,1,0.41648170879294255,1,0.5,0.5
4,5IgjP7X4th6nMNDh4akUHb,2,0.3074908497779608,1,0.6,0.6
5,3k3NWokhRRkEPhCzPmV8TW,2,0.2096335093788195,0,0.5,0.5
6,6xGruZOHLs39ZbVccQTuPZ,3,0.5624929170933158,1,0.5714285714285714,0.5714285714285714
7,3JvKfv6T31zO0ini8iNItO,3,0.47318138868244175,1,0.625,0.625
8,2vWBUC9djv6BtiGlmKiQaH,4,0.2380302838874039,0,0.5555555555555556,0.5555555555555556
9,4IhTXiZLKATmwhMZIb1GQN,4,0.3024547112574113,1,0.6,0.6
10,41oY4WCTj5kccfesTVFnvN,5,0.11652159733099327,0,0.5454545454545454,0.5454545454545454
11,7DbdUf8aHSYoliSjO6LZv6,5,0.12443717974047569,0,0.5,0.5
12,6KHsTu4Ht4XYiWcZOOdwbW,6,0.216121547647938,0,0.46153846153846156,0.46153846153846156
13,6dr7ekfhlbquvsVY8D7gyk,6,0.3421638994844124,1,0.5,0.5
14,0yc6Gst2xkRu0eMLeRMGCX,7,0.2994549272008941,1,0.5333333333333333,0.5333333333333333
15,7H7NyZ3G075GqPx2evsfeb,7,0.25799284339853046,0,0.5,0.5
16,4LRPiXqCikLlN15c3yImP7,8,0.4540937638214662,1,0.5294117647058824,0.5294117647058824
17,3F5CgOj3wFlRv51JsHbxhe,8,0.5709207665030185,1,0.5555555555555556,0.5555555555555556
18,6i1g5ZRmJZAkDwBaUZ3f2i,9,0.14385144685457113,0,0.5263157894736842,0.5263157894736842
19,0hquQWY3xvYqN4qtiquniF,9,0.1546306083457465,0,0.5,0.5
20,1FqO0g7Qzy9XhSvSJDVHLw,1,0.5021024731719966,1,0.5238095238095238,0.55
21,20cYY2pcGJpwob6jJkzWdL,1,0.5902800338331345,1,0.5454545454545454,0.6
22,51qCFidF9VJ1ifEfnh64vJ,1,0.3469053275340033,0,0.5217391304347826,0.55
23,6pdFWoSqOdRs5SCpeVMh8n,8,0.6342802100865825,1,0.5416666666666666,0.55
24,1xTfn13kPvoWXgpKj6HBK5,3,0.3403703380360419,1,0.56,0.55
